4bac4d33,Nobutaka Suzuki
c590f920,Jihong Kim
ec4316b9,Kiyoung Choi
6373aded,Vida Kianzad
80b7deda,Sankalita Saha
93686562,Jason Schlessman
858c3698,Gaurav Aggarwal
c52c00b0,Shuvra S. Bhattacharyya
6633face,Wayne Wolf
95ba5965,Rama Chellappa
4fd8a73b,Hermann Eul
076b3f3b,Juanjo Noguera
7a1a3a09,Rosa M. Badia
f85704bb,Bart Kienhuis
9f36667b,Ed F. Deprettere
54ce27af,Kees A. Vissers
53a9ccf1,Pieter van der Wolf
076b3f3b,Juanjo Noguera
7a1a3a09,Rosa M. Badia
f85704bb,Bart Kienhuis
ba5591e8,Edwin Rijpkema
9f36667b,Ed F. Deprettere
2ac7c9dd,Ümit Y. Ogras
b5ac3aa0,Jingcao Hu
ba138c75,Radu Marculescu
f7d0a3e8,Sungchan Kim
830cbeb0,Chaeseok Im
ff03acc9,Soonhoi Ha
8ec707c7,Hyunok Oh
5a455555,Nikil D. Dutt
ff03acc9,Soonhoi Ha
f7d0a3e8,Sungchan Kim
830cbeb0,Chaeseok Im
ff03acc9,Soonhoi Ha
eaabe194,Rainer Ohlendorf
0c1688cc,Andreas Herkersdorf
5c2bb734,Thomas Wild
0982903d,Youngsoo Kim
8eab792b,Suleyman Sair
452776a1,Royan H. L. Ong
284a816f,Michael J. Pont
3019c7fb,Shinji Kimura
f315d0f3,Yasufumi Itou
e6ec3029,Makoto Hirao
4b617a42,Katsumasa Watanabe
c02544dc,Mitsuteru Yukishita
fa9a719c,Akira Nagoya
2998c299,Frank E. B. Ophelders
ee5a6060,Samarjit Chakraborty
f781a1a6,Henk Corporaal
354b4320,Chenjie Yu
e98654ee,Peter Petrov
288a9f78,Per Gunnar Kjeldsberg
fe9b090d,Francky Catthoor
5c05d3bb,Einar J. Aas
690782fe,Avishay Orpaz
a324e3a8,Shlomo Weiss
2f17c47b,Peter Voigt Knudsen
1e853849,Jan Madsen
a5531279,Ross B. Ortega
fa181d62,Gaetano Borriello
2f17c47b,Peter Voigt Knudsen
1e853849,Jan Madsen
8d445b1e,Ozcan Ozturk
ac4c8c68,Mahmut T. Kandemir
04d9798b,Mary Jane Irwin
2f17c47b,Peter Voigt Knudsen
1e853849,Jan Madsen
11cae6bc,Maurizio Palesi
96e67ece,Tony Givargis
503e37f3,Gernot Koch
6cb2fe55,Udo Kebschull
99aae9d4,Wolfgang Rosenstiel
dd7cff41,Antonis Papanikolaou
53598787,F. Lobmaier
0135b13f,Hua Wang
a5119d81,Miguel Miranda
fe9b090d,Francky Catthoor
4b05113b,Tim Kogel
fee4706a,Malte Doerper
3e2596a2,Andreas Wieferink
c4e14d52,Rainer Leupers
12403b51,Gerd Ascheid
f1354a31,Heinrich Meyr
ee5ffe68,Serge Goossens
28b4f37d,Chanik Park
2eb89594,Jaeyu Seo
438b9e21,Sunghwan Bae
43842c27,Hyojun Kim
1287dc6e,Shinhan Kim
0e5c43d0,Bumsoo Kim
b4850630,Paul Kohout
9676fa4e,Brinda Ganesh
34384a21,Bruce L. Jacob
53a04d64,Sudeep Pasricha
5a455555,Nikil D. Dutt
2c0eb2e4,Mohamed Ben-Romdhane
31046607,Arezou Koohi
348f4761,Nader Bagherzadeh
6b00b5d8,Chengzi Pan
cc6d398d,Claudio Passerone
b54e3f38,Roberto Passerone
f4638ba2,Claudio Sansoè
19b4c995,Jonathan Martin
28855c1f,Alberto L. Sangiovanni-Vincentelli
e327c86c,Rick McGeer
faf5b655,Vladimir Kotlyar
6a32a603,Mayan Moudgill
64bfa552,JoAnn M. Paul
446b1358,Christian Kreiner
441f942c,Christian Steger
53c1ad16,Egon Teiniker
a0bc9bbf,Reinhold Weiss
64bfa552,JoAnn M. Paul
e2ba41d9,Christopher M. Eatedali
0a74b199,Donald E. Thomas
84cb00e6,Rajeev Krishna
e355fb7a,Scott A. Mahlke
baf394e2,Todd M. Austin
92ebbda0,Bill Lin
bec72f71,Steven Vercauteren
bd8aeefb,Hugo De Man
cd198619,Wido Kruijtzer
fba5abac,Winfried Gehrke
04d0ba7d,Víctor Reyes
8584a2c1,Ghiath Alkadi
3345aa6b,Thomas Hinz
be50de8e,Jorn Jöchalsky
1851304f,Bruno Steux
64bfa552,JoAnn M. Paul
13f0cdc4,Simon N. Peffers
0a74b199,Donald E. Thomas
d4c966c3,Kayhan Küçükçakar
64bfa552,JoAnn M. Paul
0a74b199,Donald E. Thomas
a07428da,Alex Bobrek
1d24f6da,Vinu Vijay Kumar
8c0df0c7,John Lach
1119942c,Pierre G. Paulin
ceed6e70,Chuck Pilkington
cf8de8ae,Michel Langevin
d7bccf94,Essaid Bensoudane
67a0e456,Gabriela Nicolescu
ddea986e,Sanjaya Kumar
66c7789c,Fred Rose
16706ecb,Cristiano Pereira
288c5e85,Jeremy Lau
51b4dd8e,Brad Calder
c598a51a,Rajesh K. Gupta
38eb3a2e,Kanishka Lahiri
57269304,Anand Raghunathan
e98654ee,Peter Petrov
bde80e7d,Alex Orailoglu
38eb3a2e,Kanishka Lahiri
57269304,Anand Raghunathan
11d0d43b,Sujit Dey
e98654ee,Peter Petrov
bde80e7d,Alex Orailoglu
a600869d,Marcello Lajolo
d8b8b9e6,Luciano Lavagno
afe2fe8f,Maurizio Rebaudengo
2b4e9b74,Matteo Sonza Reorda
5fb20243,Massimo Violante
81ca540c,Jonas Plantin
652a14f4,Erik Stoy
a600869d,Marcello Lajolo
fca335a3,Mihai Lazarescu
28855c1f,Alberto L. Sangiovanni-Vincentelli
8e4fa909,François Pogodalla
8202f06f,Richard Hersemeule
2db6c806,Pierre Coulomb
a600869d,Marcello Lajolo
57269304,Anand Raghunathan
11d0d43b,Sujit Dey
d8b8b9e6,Luciano Lavagno
28855c1f,Alberto L. Sangiovanni-Vincentelli
f34b79bc,Hua Lin
6633face,Wayne Wolf
084cc063,Chin-Hsien Wu
d8b8b9e6,Luciano Lavagno
beeec1f6,Massimiliano Chiodo
44e8c197,Paolo Giusto
d7833a12,Attila Jurecska
021cdabd,Harry Hsieh
9d6d0982,S. Yee
28855c1f,Alberto L. Sangiovanni-Vincentelli
4b466fef,Kei Suzuki
43471546,Luigi Pomante
9f3d8efb,Jaehwan Lee
8eeea034,Vincent John Mooney III
c1313858,Paul Pop
a7d14457,Petru Eles
398ce7ed,Zebo Peng
cd76c80d,Sunghyun Lee
046afbbe,Sungjoo Yoo
ec4316b9,Kiyoung Choi
766d4a4d,Traian Pop
a7d14457,Petru Eles
398ce7ed,Zebo Peng
95afe0e7,Haris Lekatsas
7841537a,Jörg Henkel
6633face,Wayne Wolf
766d4a4d,Traian Pop
a7d14457,Petru Eles
398ce7ed,Zebo Peng
f259d0ad,Anthony Leroy
fe67b5b2,Paul Marchal
075f8b94,Adelina Shickova
fe9b090d,Francky Catthoor
add50aeb,Frédéric Robert
af996cce,Diederik Verkest
c1313858,Paul Pop
a7d14457,Petru Eles
398ce7ed,Zebo Peng
a2b657ec,Stan Y. Liao
c1313858,Paul Pop
a7d14457,Petru Eles
766d4a4d,Traian Pop
398ce7ed,Zebo Peng
a129c38b,Gang Quan
1ff38d9a,James P. Davis
69ec8995,Siddhaveerasharan Devarkal
533a9871,Duncan A. Buell
00c4ddf5,Swarnalatha Radhakrishnan
8c40b069,Hui Guo
61ebdf10,Sri Parameswaran
f2124fb8,Sreeranga P. Rajan
430a52f5,Masahiro Fujita
97552db2,Ashok Sudarsanam
0ea8774a,Sharad Malik
56e272e7,Daler N. Rakhmatov
679ac860,Sarma B. K. Vrudhula
ce14c97a,Dinesh Ramanathan
cdda36a1,Ali Dasdan
c598a51a,Rajesh K. Gupta
d123e638,N. Ranganathan
428c2b0d,Ashok K. Murugavel
40fd12f5,Tarvo Raudvere
4811c7d6,Ingo Sander
0f5795d1,Ashish Kumar Singh
9cec9221,Axel Jantsch
71ec1929,Anders P. Ravn
41807a7e,Jørgen Staunstrup
7fc10797,Mehrdad Reshadi
44385245,Nikhil Bansal
cec782cd,Prabhat Mishra
5a455555,Nikil D. Dutt
7fc10797,Mehrdad Reshadi
37181512,Daniel Gajski
7fc10797,Mehrdad Reshadi
cec782cd,Prabhat Mishra
04d0ba7d,Víctor Reyes
d47dd45d,Tomás Bautista
e7aad64d,Gustavo Marrero Callicó
ae9af68e,Antonio Núñez
cd198619,Wido Kruijtzer
952d04f8,Kyoungseok Rha
ec4316b9,Kiyoung Choi
9e0f8a22,David L. Rhodes
6633face,Wayne Wolf
04333948,Fredy Rivera
906ec2a6,Marcos Sanchez-Elez
a2a9815c,Milagros Fernández
ff5896cb,Román Hermida
348f4761,Nader Bagherzadeh
79524eea,Edgar L. Romero
d6faf695,Marius Strum
12d39931,Wang Jiang Chau
66c7789c,Fred Rose
ffe9e52e,Todd Carpenter
ddea986e,Sanjaya Kumar
e72c841d,John Shackleton
777b0fea,Todd Steeves Honeywell
79f38735,Jeffry T. Russell
931c750f,Martijn J. Rutten
1cd6d253,Jos T. J. van Eijndhoven
802d9f78,Evert-Jan D. Pol
e3996f81,Mariagiovanna Sami
fc0f666e,Donatella Sciuto
1c1f864f,Cristina Silvano
296d855a,Vittorio Zaccaria
4811c7d6,Ingo Sander
9cec9221,Axel Jantsch
e87d63ff,Adriano Sarmento
56d4a869,Lobna Kriaa
c91c3be3,Arnaud Grasset
94209d56,Mohamed-Wassim Youssef
433c5e17,Aimen Bouchhima
f5aea2a5,Frédéric Rousseau
5d8d6448,Wander O. Cesário
a56bfeaf,Ahmed Amine Jerraya
fc0f666e,Donatella Sciuto
3aa2ff50,Fabio Salice
43471546,Luigi Pomante
f382d718,William Fornaciari
d3bd8d88,Mohamed Shalan
8eeea034,Vincent John Mooney III
40f50337,Seng Lin Shee
61ebdf10,Sri Parameswaran
79cbc1ff,Newton Cheung
50c4413c,Michael Sheliga
476f5733,Nelson L. Passos
a4fb27b2,Edwin Hsing-Mean Sha
91d1bd99,Youngsoo Shin
ec4316b9,Kiyoung Choi
86b72a79,Dongwan Shin
fa0ec26d,Andreas Gerstlauer
7673025f,Rainer Dömer
f6f61778,Daniel D. Gajski
6324783a,Dongkun Shin
c590f920,Jihong Kim
1d7ea86f,Pun H. Shiu
34f89284,Yudong Tan
8eeea034,Vincent John Mooney III
9cad3a5f,Wen-Tsong Shiue
5d1907c3,Aviral Shrivastava
ff7371bd,Eugene Earlie
5a455555,Nikil D. Dutt
a4f445bb,Alexandru Nicolau
5d1907c3,Aviral Shrivastava
ff7371bd,Eugene Earlie
5a455555,Nikil D. Dutt
a4f445bb,Alexandru Nicolau
47367511,Axel Siebenborn
1c2ac449,Oliver Bringmann
99aae9d4,Wolfgang Rosenstiel
303e7c7e,Julio Leao da Silva Jr.
eb54c41e,Marco Sgroi
eb0069e8,Fernando De Bernardinis
df616040,Suet-Fei Li
28855c1f,Alberto L. Sangiovanni-Vincentelli
266660c2,Jan M. Rabaey
0e1aef9d,Frank Slomka
2e320427,Matthias Dörfel
3be979a2,Ralf Münzenberger
0e1aef9d,Frank Slomka
37a4ad62,Jürgen Zant
01cce0fb,Lennard Lambert
1b183b4e,Juha-Pekka Soininen
6ac438d9,Jari Kreku
0d5e6e63,Yang Qu
deeca64f,Martti Forsell
6b49e545,Todor Stefanov
9f36667b,Ed F. Deprettere
6b49e545,Todor Stefanov
f85704bb,Bart Kienhuis
9f36667b,Ed F. Deprettere
e6a4e98c,Greg Stitt
c3a2be4e,Frank Vahid
caa7881e,Gordon McGregor
af3587ac,Brian Einloth
89b2ae22,Karsten Strehl
bdf13caf,Lothar Thiele
998fb2d9,Dirk Ziegenbein
8f63fcd2,Rolf Ernst
4f31928f,Jürgen Teich
ce71c1d5,Shailesh Sutarwala
1119942c,Pierre G. Paulin
b38ea589,Fumio Suzuki
259aea01,Hisao Koizumi
acba192d,M. Hiramine
dc763447,K. Yamamoto
35658566,Hiroto Yasuura
68abd17b,K. Okino
7ea2b70e,Vishnu Swaminathan
8b8ae243,Krishnendu Chakrabarty
7ea2b70e,Vishnu Swaminathan
8b8ae243,Krishnendu Chakrabarty
e976e7e9,S. Sitharama Iyengar
d3dc4698,Janos Sztipanovits
c6d469a4,C. John Glossner
59d849ab,Trevor N. Mudge
726dec86,Chris Rowen
28855c1f,Alberto L. Sangiovanni-Vincentelli
6633face,Wayne Wolf
f3bd8436,Feng Zhao
fd8bfd73,Radoslaw Szymanek
12556179,Krzysztof Kuchcinski
a79dc6a7,Bassam Tabbara
19e11819,Abdallah Tabbara
28855c1f,Alberto L. Sangiovanni-Vincentelli
4f31928f,Jürgen Teich
f8ed0db6,Tobias Blickle
bdf13caf,Lothar Thiele
4f31928f,Jürgen Teich
e8a1b551,Eckart Zitzler
c52c00b0,Shuvra S. Bhattacharyya
c2d3b8aa,Christian Tenllado
67cd0f41,Luis Piñuel
d5a12125,Manuel Prieto
aaede834,Francisco Tirado
fe9b090d,Francky Catthoor
013f7181,Markus Theißinger
e511d952,Paul Stravers
8936e609,Holger Veit
0a74b199,Donald E. Thomas
64bfa552,JoAnn M. Paul
13f0cdc4,Simon N. Peffers
f87158ec,Sandra J. Weber
3e114f45,Neal K. Tibrewala
64bfa552,JoAnn M. Paul
0a74b199,Donald E. Thomas
0b56bb6f,Hiroyuki Tomiyama
5a455555,Nikil D. Dutt
2fba1050,Sid Ahmed Ali Touati
ba4cc5b2,Manish Vachharajani
4b83c7f9,Neil Vachharajani
0ea8774a,Sharad Malik
a4c84584,David I. August
c3a2be4e,Frank Vahid
c3a2be4e,Frank Vahid
96e67ece,Tony Givargis
c3a2be4e,Frank Vahid
99d1837c,Thuy Dm Le
c3a2be4e,Frank Vahid
db2191ba,Linus Tauro
bab2d9da,Geert Vanmeerbeeck
d6933321,Patrick Schaumont
654d7d7b,Serge Vernalde
ac9793e2,Marc Engels
86ee2976,Ivo Bolsens
fba45c16,Mauricio Varea
16c2a098,Bashir M. Al-Hashimi
020c8784,Luis Alejandro Cortés
a7d14457,Petru Eles
398ce7ed,Zebo Peng
4debeb78,Girish Venkataramani
0ad96329,Tiberiu Chelcea
db607b40,Seth Copen Goldstein
29d4440b,Tobias Bjerregaard
b268fc77,Manish Verma
a2b8c533,Lars Wehmeyer
5ebcc362,Peter Marwedel
e04e561a,Frederik Vermeulen
fe9b090d,Francky Catthoor
af996cce,Diederik Verkest
bd8aeefb,Hugo De Man
a4ff1ada,Seppo Virtanen
7fdfff49,Johan Lilius
54ce27af,Kees A. Vissers
0a03fcca,Markus Voss
526f0fd3,Oliver Hammerschmidt
0a03fcca,Markus Voss
403236e6,Tarek Ben Ismail
a56bfeaf,Ahmed Amine Jerraya
eddc21f5,Karl-Heinz Kapp
71706772,Harald P. E. Vranken
13d79748,M. P. J. Stevens
481365af,M. T. M. Segers
e9b4c008,Miljan Vuletic
7772c226,Christophe Dubach
a54c583d,Laura Pozzi
2c065425,Paolo Ienne
e281da66,Shaojie Wang
0ea8774a,Sharad Malik
04535366,Scott J. Weber
d6965059,Kurt Keutzer
04535366,Scott J. Weber
fdbf12f8,Matthew W. Moskewicz
fae9f0f6,Matthias Gries
9ebe6d41,Christian Sauer
d6965059,Kurt Keutzer
a324e3a8,Shlomo Weiss
8f104df8,Shay Beren
66e78298,Jacob White
3e2596a2,Andreas Wieferink
c4e14d52,Rainer Leupers
12403b51,Gerd Ascheid
f1354a31,Heinrich Meyr
011248e7,Tom Michiels
48b2b443,Achim Nohl
4b05113b,Tim Kogel
6c787379,Jörg Wilberg
7cbb2f11,Raul Camposano
99aae9d4,Wolfgang Rosenstiel
d74ca110,Jonathan Wilmot
95ca9c2b,John Wilson
0c1b00a8,Deborah Wilson
10263acd,Daniel Dayton
368dd9ba,R. Todd Hansell
6633face,Wayne Wolf
53a9ccf1,Pieter van der Wolf
f7fe24df,Erwin A. de Kock
40cfa1bf,Tomas Henriksson
cd198619,Wido Kruijtzer
28db7da0,Gerben Essink
53a9ccf1,Pieter van der Wolf
4ffd51f1,Paul Lieverse
8f696a29,Mudit Goel
099caacc,David La Hei
54ce27af,Kees A. Vissers
6633face,Wayne Wolf
a35e0902,Andrew Wolfe
2935732a,Steve Chinatti
4b145881,Ravi Koshy
d0c2c5bf,Gary Slater
37cf3a3f,Spencer Sun
cdb8439a,Francis G. Wolff
e1030130,Michael J. Knieser
91af0746,Daniel J. Weyer
59fcb08c,Christos A. Papachristou
c4e35710,Chun Wong
fe67b5b2,Paul Marchal
fa6853e6,Peng Yang
644690b5,Youfeng Wu
bb30838d,Mauricio Breternitz Jr.
41ebeb64,Herbert H. J. Hum
e4785f5d,Ramesh V. Peri
d3057681,Jay Pickett
084cc063,Chin-Hsien Wu
01f26682,Tei-Wei Kuo
f138bebf,Chia-Lin Yang
1061582d,Haisang Wu
adb0500b,Binoy Ravindran
ba70d661,E. Douglas Jensen
b125ad06,Peng Li
f0eb854f,Fen Xie
180a4947,Margaret Martonosi
0ea8774a,Sharad Malik
56af2ced,Haiyong Xie
b0c5ab6e,Li Zhao
6c0a69c2,Laxmi N. Bhuyan
42cc9699,Chun Xue
bcff66c0,Zili Shao
3a664179,Meilin Liu
a4fb27b2,Edwin Hsing-Mean Sha
fa6853e6,Peng Yang
fe9b090d,Francky Catthoor
61842a7d,Lei Yang
a64da999,Robert P. Dick
95afe0e7,Haris Lekatsas
6a3db67b,Srimat T. Chakradhar
9de0b0d3,Bo Yang
c900b4c5,Ramesh Karri
5db3c673,Shenglin Yang
d6933321,Patrick Schaumont
f6e29d10,Ingrid Verbauwhede
8f0a9553,Youngmin Yi
1bc1f084,Dohyung Kim
ff03acc9,Soonhoi Ha
046afbbe,Sungjoo Yoo
ec4316b9,Kiyoung Choi
046afbbe,Sungjoo Yoo
ec4316b9,Kiyoung Choi
046afbbe,Sungjoo Yoo
67a0e456,Gabriela Nicolescu
b2fca210,Damien Lyonnard
0f11740d,Amer Baghdadi
a56bfeaf,Ahmed Amine Jerraya
046afbbe,Sungjoo Yoo
952d04f8,Kyoungseok Rha
bba81f21,Youngchul Cho
0612ba12,Jinyong Jung
ec4316b9,Kiyoung Choi
3b0dc96c,Haobo Yu
fa0ec26d,Andreas Gerstlauer
37181512,Daniel Gajski
ef4199db,Chuanjun Zhang
f3bd8436,Feng Zhao
e0f917af,Jie Liu
3364af66,Jim Reich
c4bcee18,Maurice Chu
a3fc993b,Juan Liu
ad9d1426,Tao Zhou
f7e5795d,Xiaobo Sharon Hu
a4fb27b2,Edwin Hsing-Mean Sha
3300deff,Xiangrong Zhou
e98654ee,Peter Petrov
02a8d2de,Jianwen Zhu
37181512,Daniel Gajski
4ee46ae4,Qiang Zhu
874be16e,Ryosuke Oishi
06add089,Takashi Hasegawa
bde9d56a,Tsuneo Nakata
b1e0e3e6,Xinping Zhu
07357f33,Wei Qin
0ea8774a,Sharad Malik
bc7d701a,Qingfeng Zhuge
bcff66c0,Zili Shao
9718442a,Bin Xiao
a4fb27b2,Edwin Hsing-Mean Sha
998fb2d9,Dirk Ziegenbein
8f63fcd2,Rolf Ernst
6d2cc1bf,Kai Richter
4f31928f,Jürgen Teich
bdf13caf,Lothar Thiele
fe1a0a63,Heiko Zimmer
9cec9221,Axel Jantsch
b1787869,Antoine Scherrer
f0179d8b,Antoine Fraboulet
12cefb75,Tanguy Risset
07357f33,Wei Qin
03cf4130,Joseph D'Errico
b1e0e3e6,Xinping Zhu
030b8679,Minyoung Kim
d3ea716c,Sudarshan Banerjee
6fd4c5f6,Nikil Dutt
e77ffc0d,Nalini Venkatasubramanian
b61cddfb,Aseem Gupta
5a455555,Nikil D. Dutt
f1577acf,Fadi J. Kurdahi
96f7b7a3,Kamal S. Khouri
a329f7b6,Magdy S. Abadir
7be04f93,Hayden Kwok-Hay So
d63e7185,Artem Tkachenko
960e7763,Robert W. Brodersen
9cb5428d,Nicola Bombieri
7d57245e,Franco Fummi
5503bd28,Davide Quaglia
cd917e9f,Roshan G. Ragel
61ebdf10,Sri Parameswaran
aea9d5fd,Yoshimi Furukawa
64632776,Seiji Kawamura
c2c80c97,Wen-Wen Hsieh
c3207c63,Po-Yuan Chen
5b9f872e,TingTing Hwang
9583cc7a,Mohammad Abdullah Al Faruque
11f3bee6,Gereon Weiss
7841537a,Jörg Henkel
02710bed,Sungpack Hong
046afbbe,Sungjoo Yoo
7a99db99,Sheayun Lee
b073408b,Sangwoo Lee
c28b30d6,Hye Jeong Nam
681d2730,Bum-Seok Yoo
fc6dd98e,Jaehyung Hwang
227a5d1f,Donghyun Song
e021eaa8,Janghwan Kim
236011b2,Jeongeun Kim
5c900694,HoonSang Jin
56e55e17,Kyu-Myung Choi
ff715e65,Jeong-Taek Kong
b9c851d7,Soo-Kwan Eo
4f30050e,Kevin Fan
ba6718e0,Manjunath Kudlur
f1c0f0cb,Hyunchul Park
e355fb7a,Scott A. Mahlke
359b865e,Hristo Nikolov
6b49e545,Todor Stefanov
9f36667b,Ed F. Deprettere
24f2d7b5,Carlo Galuzzi
d0ec122e,Elena Moscu Panainte
a9c20778,Yana Yankova
afcec382,Koen Bertels
a92d92c0,Stamatis Vassiliadis
94d0ccbe,Arne Hamann
5767816e,Razvan Racu
8f63fcd2,Rolf Ernst
86b72a79,Dongwan Shin
fa0ec26d,Andreas Gerstlauer
512c8217,Junyu Peng
7673025f,Rainer Dömer
f6f61778,Daniel D. Gajski
dd7cff41,Antonis Papanikolaou
9c7935d2,T. Grabner
a5119d81,Miguel Miranda
774b85eb,Philippe Roussel
fe9b090d,Francky Catthoor
00c4ddf5,Swarnalatha Radhakrishnan
8c40b069,Hui Guo
61ebdf10,Sri Parameswaran
aeb36651,Aleksandar Ignjatovic
529eee4a,Divya Arora
57269304,Anand Raghunathan
2f071356,Srivaths Ravi
683fead7,Niraj K. Jha
89272faf,Seung Eun Lee
348f4761,Nader Bagherzadeh
2ce18aae,Wolfgang Mueller
dae6f562,Yves Vanderperren
dbc44a0f,Bita Gorjiara
7fc10797,Mehrdad Reshadi
18de50f7,Pramod Chandraiah
37181512,Daniel Gajski
ffeefd22,Hiroaki Tanaka
dc8336b5,Yoshinori Takeuchi
ce3b25aa,Keishi Sakanushi
40fa7155,Masaharu Imai
156bd5d2,Yutaka Ota
cbec4a40,Nobu Matsumoto
3e41f55b,Masaki Nakagawa
11cae6bc,Maurizio Palesi
c7c61c42,Rickard Holsmark
67f400cb,Shashi Kumar
f98a2d0a,Vincenzo Catania
b075b7b2,Gunar Schirner
7673025f,Rainer Dömer
5da2c060,Henrik Lipskoch
64486b20,Karsten Albers
0e1aef9d,Frank Slomka
1c483d34,Arun Kejariwal
9eaf8df2,Alexander V. Veidenbaum
a4f445bb,Alexandru Nicolau
5a434167,Milind Girkar
ba99ce74,Xinmin Tian
2e9cbd8e,Hideki Saito
ed5ec698,Ai-Hsin Liu
a64da999,Robert P. Dick
4f31928f,Jürgen Teich
93311f8a,Puru Choudhary
59b6be17,Diana Marculescu
3fe15fb1,Manuel Hohenauer
227fbc5d,Christoph Schumacher
c4e14d52,Rainer Leupers
12403b51,Gerd Ascheid
f1354a31,Heinrich Meyr
af2d2c0b,Hans van Someren
e2adbd6a,Simon Schliecker
e4b82d20,Matthias Ivers
8f63fcd2,Rolf Ernst
5b6fe45f,Alessandro G. Di Nuovo
11cae6bc,Maurizio Palesi
9b0bcd06,Davide Patti
a6e42a10,Giuseppe Ascia
f98a2d0a,Vincenzo Catania
817fe317,Catherine H. Gebotys
cef497f3,Brian A. White
705d634a,Christopher D. Gill
ba6718e0,Manjunath Kudlur
4f30050e,Kevin Fan
e355fb7a,Scott A. Mahlke
fd4fe6fa,Martijn Coenen
f36be3d3,Srinivasan Murali
6123be40,Andrei Radulescu
6c831005,Kees Goossens
35c0ae98,Giovanni De Micheli
a1b73069,Krisztián Flautner
66dc780a,Giovanni Beltrame
11274eb8,Dario Bruschi
fc0f666e,Donatella Sciuto
1c1f864f,Cristina Silvano
40f50337,Seng Lin Shee
d9ad2edc,Andrea Erdos
61ebdf10,Sri Parameswaran
3b863afb,Jeffrey Namkung
1bc1f084,Dohyung Kim
c598a51a,Rajesh K. Gupta
6c912feb,Igor Kozintsev
ea5e87b0,Jean-Yves Bouguet
ffd94847,Carole Dulong
adfe9bac,Krishnan Srinivasan
5f84f562,Karam S. Chatha
d1e40de1,Yongsoo Joo
0bf3bf1d,Yongseok Choi
28b4f37d,Chanik Park
572053dc,Sung Woo Chung
5131abf4,Eui-Young Chung
0ede790c,Naehyuck Chang
189c73da,Maarten Wiggers
270b16cf,Marco Bekooij
fa95f97b,Pierre G. Jansen
1733122e,Gerard J. M. Smit
53a04d64,Sudeep Pasricha
920a68f9,Young-Hwan Park
f1577acf,Fadi J. Kurdahi
5a455555,Nikil D. Dutt
4af5c35c,Ilya Issenin
6fd4c5f6,Nikil Dutt
b5f23c88,Selim Gurun
9604c06d,Chandra Krintz
ba96ccd4,Wonbok Lee
f04782da,Kimish Patel
ac7d6b08,Massoud Pedram
affc9e3b,Pilok Lim
08ff78b5,Taewhan Kim
5d45d129,Balaji Raman
ee5a6060,Samarjit Chakraborty
c133de1b,Pier Stanislao Paolucci
a56bfeaf,Ahmed Amine Jerraya
c4e14d52,Rainer Leupers
bdf13caf,Lothar Thiele
7a9b2192,Piero Vicini
22c7431c,Jude Angelo Ambrose
cd917e9f,Roshan G. Ragel
61ebdf10,Sri Parameswaran
29ab5c50,Javed Absar
9bd8e7d9,Min Li
b2f445db,Praveen Raghavan
bcb35ee3,Andy Lambrechts
ac66b218,Murali Jayapala
ab96ef42,Arnout Vandecappelle
fe9b090d,Francky Catthoor
15f38872,Rodric M. Rabbah
2461dd5f,Simon Künzli
94d0ccbe,Arne Hamann
8f63fcd2,Rolf Ernst
bdf13caf,Lothar Thiele
5e3b41cf,Krutartha Patel
3a78bc30,Sridevan Parameswaran
40f50337,Seng Lin Shee
d1c3a574,Changyun Zhu
e05368b4,Zhenyu (Peter) Gu
a64da999,Robert P. Dick
83a9a181,Li Shang
a099e10a,Chen-Ling Chou
ba138c75,Radu Marculescu
e6a4e98c,Greg Stitt
c3a2be4e,Frank Vahid
9fff4c0b,Benny Akesson
6c831005,Kees Goossens
8e57bee5,Markus Ringhofer
a30f6887,Glenn Leary
719ea60e,Krishna Mehta
5f84f562,Karam S. Chatha
ac1cdea5,Heiko Falk
7e484102,Sascha Plazar
89f10496,Henrik Theiling
fe925268,Brett H. Meyer
0a74b199,Donald E. Thomas
b29bbcbd,Seunghoon Kim
a64da999,Robert P. Dick
4f091054,Russ Joseph
9755f44d,Chengmo Yang
bde80e7d,Alex Orailoglu
d26d1ea0,Leandro Fiorin
fc89075f,Gianluca Palermo
2331d2ce,Slobodan Lukovic
1c1f864f,Cristina Silvano
768d06e6,Walid A. Najjar
c1313858,Paul Pop
aaf19f31,Kåre Harbo Poulsen
047bd468,Viacheslav Izosimov
a7d14457,Petru Eles
9ece0425,Iyad Al Khatib
f382b557,Davide Bertozzi
9cec9221,Axel Jantsch
2c255bd4,Luca Benini
c2ee10ce,Siddharth Garg
59b6be17,Diana Marculescu
5f024c84,Hirofumi Iwato
ce3b25aa,Keishi Sakanushi
dc8336b5,Yoshinori Takeuchi
40fa7155,Masaharu Imai
3469ac9b,Paul Lokuciejewski
ac1cdea5,Heiko Falk
3e3234f9,Martin Schwarzer
5ebcc362,Peter Marwedel
89f10496,Henrik Theiling
79b2fab3,Stefan Kraemer
222defef,Lei Gao
0dfcc8dc,Jan Weinstock
c4e14d52,Rainer Leupers
12403b51,Gerd Ascheid
f1354a31,Heinrich Meyr
18de50f7,Pramod Chandraiah
7673025f,Rainer Dömer
821a3283,Sascha Gädtke
951b2846,Claus Traulsen
5d97a1ac,Reinhard von Hanxleden
97ee715b,Siddharth Choudhuri
96e67ece,Tony Givargis
dc9692cc,Pao-Ann Hsiung
bc8a5a64,Pin-Hsien Lu
